partNumber,description,category,value,package,qtyOnHand,reelQty,feederSlot,eagleDevice,eaglePackage,unitCost,altParts
TSM0019,Triac  T1235-600G-TR  D2Pak,transistor,,D2PAK,,250,,TSM0019,D2PAK,,
2.7K_0805,2.7K 1/8W 1% 0805 LF,resistor,2.7K,0805,,250,,2.7K_0805,RESC2012X65,,
75^_0805,75^ 1/8W 1% 0805,resistor,75^,0805,,500,,75^_0805,RESC2012X65,,
1M_0805_1%,1M 1/8W 1% 0805,resistor,1M,0805,,250,,1M_0805_1%,RESC2012X65,,
4.7K_0603,4.7K SIP 9 PIN 2% 8RES,resistor,4.7K,RESC1608X60,,250,,4.7K_0603,RESC1608X60,,
30K_0603,30K  1W  5% METALOXIDE,resistor,30K,RESC1608X60,,1000,,30K_0603,RESC1608X60,,
100UF_35V_ALE,100uF 25VDC ammo pack only,capacitor,100UF,CAPAE660X800N,,250,,100UF_35V_ALE,CAPAE660X800N,,
PIC16F1513-I-SO,PIC16F18323-I/SL Microctrl,ic,,MICROCHIP_PIC16F1513-I-SO_2,,500,,PIC16F1513-I-SO,MICROCHIP_PIC16F1513-I-SO_2,,
LED_RED_0805,0.56 RED SUPBR 7-SEG CA,led,RED,LEDC2012X110N_B,,250,,LED_RED_0805,LEDC2012X110N_B,,
100K_0603,100K 1/10W 1% 0603,resistor,100K,0603,,250,,100K_0603,RESC1608X60,,
470^_0603,470^ 1/8 W 1% 0805 SMD,resistor,470^,0805,,500,,470^_0603,RESC1608X60,,
0.22UF_0603,CAPS 0.22UF 250V METAL POLYFLM,capacitor,0.22UF,CAPC1608X85,,250,,0.22UF_0603,CAPC1608X85,,
150^_AXIAL,150^ 5% 1/4W AXIAL,resistor,150^,AXIAL,,500,,150^_AXIAL,SFR16S,,
470^_AXIAL,470^ 5% 0.25W AXIAL LF,resistor,470^,AXIAL,,250,,470^_AXIAL,SFR16S,,
75^_0805,75^ 1% 0.25W,resistor,75^,RESC2012X65,,500,,75^_0805,RESC2012X65,,
GP_1000V_1A_SOD-123F,ZENER DIODE 10V 1/2W SOD123,diode,,SOD-123F,,500,,GP_1000V_1A_SOD-123F,SOD-123F,,
L,LNK362DG,ic,,INDC1608X95N-IPC,,500,,L,INDC1608X95N-IPC,,
220^_0805,RES 220 OHM 1W 5% AXIAL SAFETY,resistor,220^,AXIAL,,500,,220^_0805,RESC2012X65,,
330^_0805,330^ 1/4W 5% 1206,resistor,330^,1206,,500,,330^_0805,RESC2012X65,,
22PF_0603,22pF 50V NPO 5% 0603,capacitor,22PF,0603,,250,,22PF_0603,CAPC1608X85,,
GP_1000V_1A_SOD-123F,Zener Diode 12V 1/2W SOD123,diode,,SOD-123F,,500,,GP_1000V_1A_SOD-123F,SOD-123F,,
LED_RED_0805,LED T1-3/4 RED LF,led,RED,LEDC2012X110N_B,,250,,LED_RED_0805,LEDC2012X110N_B,,
10K_0603,10K 0.5% 25 ppm  1/4 w,resistor,10K,RESC1608X60,,500,,10K_0603,RESC1608X60,,
100^_0603,100^  5%  0.50W,resistor,100^,RESC1608X60,,500,,100^_0603,RESC1608X60,,
10UF_1206_10%_25V,10uF  electrolytic  400V 20%,capacitor,10UF,CAPC3216X135,,250,,10UF_1206_10%_25V,CAPC3216X135,,
L0074,RottndogAlphaNumerics CUST SUP,led,,L0074,,1000,,L0074,L0074,,
1N5407-T,1N5407-T,diode,,DO-201AD,,500,,1N5407-T,DO-201AD,,
330^_AXIAL,330^ 5% 0.25W AXIAL LF,resistor,330^,AXIAL,,250,,330^_AXIAL,SFR16S,,
