partNumber,dbaCode,description,category,value,package,qtyOnHand,reelQty,feederSlot,eagleDevice,eaglePackage,unitCost,altParts,issueQty2yr,issueTxnCount,matchConfidence,designUsage
30K_0603,R0302,30K  1W  5% METALOXIDE,resistor,30K,RESC1608X60,,1000,,30K_0603,RESC1608X60,,,15398,19,low,12
100UF_35V_ALE,C0002,100uF 25VDC ammo pack only,capacitor,100UF,CAPAE660X800N,,250,,100UF_35V_ALE,CAPAE660X800N,,,14712,48,low,44
PIC16F1513-I-SO,ICSM0186,PIC16F18323-I/SL Microctrl,ic,,MICROCHIP_PIC16F1513-I-SO_2,,500,,PIC16F1513-I-SO,MICROCHIP_PIC16F1513-I-SO_2,,,14497,37,medium,2
LED_RED_0805,L0065,0.56 RED SUPBR 7-SEG CA,led,RED,LEDC2012X110N_B,,250,,LED_RED_0805,LEDC2012X110N_B,,,14474,44,medium,62
100K_0603,RSM0153,100K 1/10W 1% 0603,resistor,100K,0603,,250,,100K_0603,RESC1608X60,,,13975,38,high,65
470^_0603,RSM0088,470^ 1/8 W 1% 0805 SMD,resistor,470^,0805,,500,,470^_0603,RESC1608X60,,,13728,19,low,18
0.22UF_0603,C0117,CAPS 0.22UF 250V METAL POLYFLM,capacitor,0.22UF,CAPC1608X85,,250,,0.22UF_0603,CAPC1608X85,,,12897,40,low,2
150^_AXIAL,R0022,150^ 5% 1/4W AXIAL,resistor,150^,AXIAL,,500,,150^_AXIAL,SFR16S,,,12801,26,high,7
470^_AXIAL,R0117,470^ 5% 0.25W AXIAL LF,resistor,470^,AXIAL,,250,,470^_AXIAL,SFR16S,,,12645,47,high,16
75^_0805,R0069,75^ 1% 0.25W,resistor,75^,RESC2012X65,,500,,75^_0805,RESC2012X65,,,12609,20,low,29
GP_1000V_1A_SOD-123F,DSM0046,ZENER DIODE 10V 1/2W SOD123,diode,,SOD-123F,,500,,GP_1000V_1A_SOD-123F,SOD-123F,,,12497,26,medium,13
L,ICSM0122,LNK362DG,ic,,INDC1608X95N-IPC,,500,,L,INDC1608X95N-IPC,,,12497,26,medium,2
220^_0805,R0385,RES 220 OHM 1W 5% AXIAL SAFETY,resistor,220^,AXIAL,,500,,220^_0805,RESC2012X65,,,12497,26,low,72
330^_0805,RSM0161,330^ 1/4W 5% 1206,resistor,330^,1206,,500,,330^_0805,RESC2012X65,,,12497,26,low,12
22PF_0603,CSM0139,22pF 50V NPO 5% 0603,capacitor,22PF,0603,,250,,22PF_0603,CAPC1608X85,,,12428,60,high,2
